 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.0000;
     1    0.009               0               1               0          0.5000;
     2    0.018               4               8               0          0.5000;
     3    0.027              13              18               0          0.5000;
     4    0.035              26              33               2          0.5000;
     5    0.044              43              50               5          0.5000;
     6    0.053              63              72              10          0.5000;
     7    0.062              85              94              18          0.5000;
     8    0.071             109             119              29          0.5000;
     9    0.080             133             144              44          0.5000;
    10    0.089             158             169              64          0.5000;
    11    0.097             184             195              88          0.5000;
    12    0.106             211             222             118          0.5000;
    13    0.115             239             250             151          0.5000;
    14    0.124             267             279             190          0.5000;
    15    0.133             297             309             231          0.5000;
    16    0.142             328             340             276          0.5000;
    17    0.151             360             373             324          0.5000;
    18    0.159             393             406             373          0.5000;
    19    0.168             428             442             423          0.5000;
    20    0.177             464             479             473          0.5000;
    21    0.186             502             518             523          0.5000;
    22    0.195             542             559             573          0.5000;
    23    0.204             584             601             620          0.5000;
    24    0.213             628             645             667          0.5000;
    25    0.221             673             691             711          0.5000;
    26    0.230             720             739             755          0.5000;
    27    0.239             769             789             796          0.5000;
    28    0.248             819             840             836          0.5000;
    29    0.257             872             892             876          0.5000;
    30    0.266             924             945             916          0.5000;
    31    0.274             976             997             956          0.5000;
    32    0.283            1027            1048             998          0.5000;
    33    0.292            1078            1098            1041          0.5000;
    34    0.301            1128            1148            1086          0.5000;
    35    0.310            1177            1196            1134          0.5000;
    36    0.319            1225            1244            1183          0.5000;
    37    0.328            1272            1290            1235          0.5000;
    38    0.336            1318            1336            1288          0.5000;
    39    0.345            1364            1382            1343          0.5000;
    40    0.354            1409            1427            1399          0.5000;
    41    0.363            1454            1472            1455          0.5000;
    42    0.372            1500            1518            1511          0.5000;
    43    0.381            1546            1565            1567          0.5000;
    44    0.390            1594            1614            1621          0.5000;
    45    0.398            1645            1666            1675          0.5000;
    46    0.407            1698            1720            1726          0.5000;
    47    0.416            1753            1776            1777          0.5000;
    48    0.425            1810            1833            1826          0.5000;
    49    0.434            1869            1893            1875          0.5000;
    50    0.443            1930            1955            1923          0.5000;
    51    0.452            1993            2019            1972          0.5000;
    52    0.460            2058            2085            2023          0.5000;
    53    0.469            2126            2154            2075          0.5000;
    54    0.478            2196            2224            2130          0.5000;
    55    0.487            2267            2296            2188          0.5000;
    56    0.496            2339            2368            2251          0.5000;
    57    0.505            2411            2440            2318          0.5000;
    58    0.514            2484            2513            2390          0.5000;
    59    0.522            2558            2587            2466          0.5000;
    60    0.531            2632            2662            2547          0.5000;
    61    0.540            2707            2737            2633          0.5000;
    62    0.549            2782            2812            2723          0.5000;
    63    0.558            2857            2887            2815          0.5000;
    64    0.567            2933            2964            2910          0.5000;
    65    0.576            3011            3042            3006          0.5000;
    66    0.584            3090            3122            3102          0.5000;
    67    0.593            3170            3203            3198          0.5000;
    68    0.602            3252            3285            3293          0.5000;
    69    0.611            3336            3370            3386          0.5000;
    70    0.620            3421            3456            3477          0.5000;
    71    0.629            3510            3546            3565          0.5000;
    72    0.638            3600            3637            3651          0.5000;
    73    0.646            3692            3729            3735          0.5000;
    74    0.655            3785            3823            3817          0.5000;
    75    0.664            3880            3918            3898          0.5000;
    76    0.673            3975            4014            3979          0.5000;
    77    0.682            4072            4110            4059          0.5000;
    78    0.691            4168            4207            4141          0.5000;
    79    0.699            4265            4304            4224          0.5000;
    80    0.708            4363            4402            4310          0.5000;
    81    0.717            4461            4501            4398          0.5000;
    82    0.726            4560            4600            4490          0.5000;
    83    0.735            4660            4700            4586          0.5000;
    84    0.744            4761            4802            4686          0.5000;
    85    0.753            4863            4904            4789          0.5000;
    86    0.761            4967            5008            4897          0.5000;
    87    0.770            5071            5113            5008          0.5000;
    88    0.779            5177            5220            5123          0.5000;
    89    0.788            5284            5327            5241          0.5000;
    90    0.797            5392            5436            5362          0.5000;
    91    0.806            5502            5546            5485          0.5000;
    92    0.815            5612            5657            5609          0.5000;
    93    0.823            5724            5769            5734          0.5000;
    94    0.832            5836            5882            5858          0.5000;
    95    0.841            5950            5995            5983          0.5000;
    96    0.850            6064            6110            6106          0.5000;
    97    0.859            6179            6226            6228          0.5000;
    98    0.868            6296            6343            6348          0.5000;
    99    0.877            6414            6461            6466          0.5000;
   100    0.885            6532            6580            6582          0.5000;
   101    0.894            6651            6699            6697          0.5000;
   102    0.903            6771            6819            6810          0.5000;
   103    0.912            6892            6941            6921          0.5000;
   104    0.921            7014            7063            7033          0.5000;
   105    0.930            7138            7187            7144          0.5000;
   106    0.939            7262            7313            7256          0.5000;
   107    0.947            7389            7440            7369          0.5000;
   108    0.956            7518            7570            7484          0.5000;
   109    0.965            7648            7700            7602          0.5000;
   110    0.974            7779            7832            7723          0.5000;
   111    0.983            7912            7965            7848          0.5000;
   112    0.992            8045            8098            7978          0.5000;
   113    1.001            8178            8231            8112          0.5000;
   114    1.009            8310            8363            8251          0.5000;
   115    1.018            8442            8495            8393          0.5000;
   116    1.027            8573            8625            8540          0.5000;
   117    1.036            8703            8754            8690          0.5000;
   118    1.045            8832            8884            8842          0.5000;
   119    1.054            8962            9013            8996          0.5000;
   120    1.063            9091            9142            9150          0.5000;
   121    1.071            9220            9273            9302          0.5000;
   122    1.080            9352            9405            9453          0.5000;
   123    1.089            9485            9539            9600          0.5000;
   124    1.098            9621            9677            9745          0.5000;
   125    1.107            9762            9819            9886          0.5000;
   126    1.116            9906            9964           10022          0.5000;
   127    1.124           10054           10115           10156          0.5000;
   128    1.133           10208           10271           10287          0.5000;
   129    1.142           10366           10430           10417          0.5000;
   130    1.151           10527           10592           10548          0.5000;
   131    1.160           10691           10757           10681          0.5000;
   132    1.169           10856           10922           10818          0.5000;
   133    1.178           11021           11086           10959          0.5000;
   134    1.186           11185           11250           11106          0.5000;
   135    1.195           11346           11410           11260          0.5000;
   136    1.204           11505           11567           11422          0.5000;
   137    1.213           11660           11722           11590          0.5000;
   138    1.222           11812           11872           11765          0.5000;
   139    1.231           11962           12021           11945          0.5000;
   140    1.240           12110           12169           12129          0.5000;
   141    1.248           12257           12316           12315          0.5000;
   142    1.257           12405           12465           12501          0.5000;
   143    1.266           12556           12618           12686          0.5000;
   144    1.275           12711           12774           12867          0.5000;
   145    1.284           12871           12936           13045          0.5000;
   146    1.293           13036           13104           13217          0.5000;
   147    1.302           13207           13277           13384          0.5000;
   148    1.310           13383           13455           13545          0.5000;
   149    1.319           13564           13638           13704          0.5000;
   150    1.328           13749           13823           13859          0.5000;
   151    1.337           13936           14011           14013          0.5000;
   152    1.346           14124           14199           14167          0.5000;
   153    1.355           14313           14388           14323          0.5000;
   154    1.364           14500           14574           14483          0.5000;
   155    1.372           14685           14759           14648          0.5000;
   156    1.381           14869           14942           14818          0.5000;
   157    1.390           15050           15122           14994          0.5000;
   158    1.399           15230           15302           15177          0.5000;
   159    1.408           15409           15481           15366          0.5000;
   160    1.417           15589           15660           15561          0.5000;
   161    1.426           15769           15841           15762          0.5000;
   162    1.434           15950           16023           15966          0.5000;
   163    1.443           16132           16205           16173          0.5000;
   164    1.452           16315           16389           16382          0.5000;
   165    1.461           16499           16573           16591          0.5000;
   166    1.470           16684           16758           16800          0.5000;
   167    1.479           16870           16945           17008          0.5000;
   168    1.488           17058           17133           17211          0.5000;
   169    1.496           17246           17323           17412          0.5000;
   170    1.505           17438           17515           17608          0.5000;
   171    1.514           17631           17710           17799          0.5000;
   172    1.523           17828           17908           17985          0.5000;
   173    1.532           18028           18110           18168          0.5000;
   174    1.541           18233           18315           18347          0.5000;
   175    1.549           18440           18524           18525          0.5000;
   176    1.558           18651           18736           18703          0.5000;
   177    1.567           18863           18948           18881          0.5000;
   178    1.576           19076           19161           19063          0.5000;
   179    1.585           19287           19371           19248          0.5000;
   180    1.594           19496           19579           19439          0.5000;
   181    1.603           19703           19784           19636          0.5000;
   182    1.611           19906           19986           19839          0.5000;
   183    1.620           20105           20185           20049          0.5000;
   184    1.629           20303           20381           20264          0.5000;
   185    1.638           20498           20576           20485          0.5000;
   186    1.647           20694           20773           20709          0.5000;
   187    1.656           20891           20971           20935          0.5000;
   188    1.665           21090           21171           21162          0.5000;
   189    1.673           21292           21373           21388          0.5000;
   190    1.682           21496           21578           21613          0.5000;
   191    1.691           21703           21786           21835          0.5000;
   192    1.700           21912           21996           22054          0.5000;
