 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.0000;
     1    0.009               0               1               1          0.5000;
     2    0.018               5               7               1          0.5000;
     3    0.027              13              17               1          0.5000;
     4    0.035              25              31               2          0.5000;
     5    0.044              40              47               5          0.5000;
     6    0.053              57              65               9          0.5000;
     7    0.062              77              85              16          0.5000;
     8    0.071              97             106              27          0.5000;
     9    0.080             119             129              40          0.5000;
    10    0.089             143             152              58          0.5000;
    11    0.097             167             177              80          0.5000;
    12    0.106             192             202             106          0.5000;
    13    0.115             217             228             136          0.5000;
    14    0.124             244             255             171          0.5000;
    15    0.133             271             283             208          0.5000;
    16    0.142             299             311             249          0.5000;
    17    0.151             328             340             293          0.5000;
    18    0.159             359             371             338          0.5000;
    19    0.168             390             403             384          0.5000;
    20    0.177             424             438             431          0.5000;
    21    0.186             459             474             477          0.5000;
    22    0.195             496             512             522          0.5000;
    23    0.204             535             551             567          0.5000;
    24    0.213             575             592             610          0.5000;
    25    0.221             617             635             651          0.5000;
    26    0.230             661             679             691          0.5000;
    27    0.239             707             726             730          0.5000;
    28    0.248             755             774             768          0.5000;
    29    0.257             804             824             806          0.5000;
    30    0.266             853             873             844          0.5000;
    31    0.274             903             923             882          0.5000;
    32    0.283             951             971             922          0.5000;
    33    0.292             999            1018             964          0.5000;
    34    0.301            1046            1065            1007          0.5000;
    35    0.310            1092            1111            1052          0.5000;
    36    0.319            1137            1155            1100          0.5000;
    37    0.328            1181            1199            1149          0.5000;
    38    0.336            1225            1242            1201          0.5000;
    39    0.345            1268            1285            1253          0.5000;
    40    0.354            1311            1329            1306          0.5000;
    41    0.363            1355            1372            1360          0.5000;
    42    0.372            1398            1415            1413          0.5000;
    43    0.381            1442            1460            1466          0.5000;
    44    0.390            1487            1506            1517          0.5000;
    45    0.398            1535            1554            1567          0.5000;
    46    0.407            1584            1605            1616          0.5000;
    47    0.416            1637            1658            1663          0.5000;
    48    0.425            1691            1713            1709          0.5000;
    49    0.434            1748            1771            1754          0.5000;
    50    0.443            1806            1830            1800          0.5000;
    51    0.452            1866            1891            1846          0.5000;
    52    0.460            1928            1953            1893          0.5000;
    53    0.469            1991            2017            1942          0.5000;
    54    0.478            2057            2084            1993          0.5000;
    55    0.487            2124            2151            2049          0.5000;
    56    0.496            2192            2220            2108          0.5000;
    57    0.505            2261            2288            2172          0.5000;
    58    0.514            2330            2357            2240          0.5000;
    59    0.522            2400            2428            2313          0.5000;
    60    0.531            2470            2499            2391          0.5000;
    61    0.540            2542            2571            2472          0.5000;
    62    0.549            2615            2644            2557          0.5000;
    63    0.558            2688            2718            2646          0.5000;
    64    0.567            2763            2793            2736          0.5000;
    65    0.576            2837            2868            2829          0.5000;
    66    0.584            2914            2945            2921          0.5000;
    67    0.593            2993            3025            3014          0.5000;
    68    0.602            3073            3105            3106          0.5000;
    69    0.611            3155            3188            3197          0.5000;
    70    0.620            3238            3272            3286          0.5000;
    71    0.629            3323            3357            3373          0.5000;
    72    0.638            3409            3445            3458          0.5000;
    73    0.646            3498            3534            3540          0.5000;
    74    0.655            3588            3624            3621          0.5000;
    75    0.664            3678            3715            3701          0.5000;
    76    0.673            3769            3805            3780          0.5000;
    77    0.682            3860            3897            3859          0.5000;
    78    0.691            3952            3989            3939          0.5000;
    79    0.699            4044            4081            4019          0.5000;
    80    0.708            4135            4172            4101          0.5000;
    81    0.717            4227            4264            4185          0.5000;
    82    0.726            4319            4357            4271          0.5000;
    83    0.735            4412            4449            4360          0.5000;
    84    0.744            4506            4543            4452          0.5000;
    85    0.753            4600            4639            4547          0.5000;
    86    0.761            4696            4735            4644          0.5000;
    87    0.770            4794            4834            4745          0.5000;
    88    0.779            4893            4934            4849          0.5000;
    89    0.788            4995            5035            4955          0.5000;
    90    0.797            5097            5139            5063          0.5000;
    91    0.806            5202            5244            5173          0.5000;
    92    0.815            5309            5352            5286          0.5000;
    93    0.823            5417            5460            5400          0.5000;
    94    0.832            5525            5569            5515          0.5000;
    95    0.841            5635            5679            5632          0.5000;
    96    0.850            5745            5790            5749          0.5000;
    97    0.859            5857            5902            5867          0.5000;
    98    0.868            5969            6013            5984          0.5000;
    99    0.877            6081            6126            6102          0.5000;
   100    0.885            6194            6239            6219          0.5000;
   101    0.894            6307            6351            6335          0.5000;
   102    0.903            6419            6464            6451          0.5000;
   103    0.912            6532            6577            6565          0.5000;
   104    0.921            6645            6691            6678          0.5000;
   105    0.930            6760            6805            6791          0.5000;
   106    0.939            6874            6921            6902          0.5000;
   107    0.947            6991            7038            7013          0.5000;
   108    0.956            7109            7156            7123          0.5000;
   109    0.965            7229            7277            7234          0.5000;
   110    0.974            7350            7400            7345          0.5000;
   111    0.983            7474            7525            7457          0.5000;
   112    0.992            7600            7651            7571          0.5000;
   113    1.001            7728            7780            7687          0.5000;
   114    1.009            7858            7910            7807          0.5000;
   115    1.018            7989            8041            7930          0.5000;
   116    1.027            8120            8172            8056          0.5000;
   117    1.036            8251            8303            8187          0.5000;
   118    1.045            8381            8433            8322          0.5000;
   119    1.054            8511            8563            8461          0.5000;
   120    1.063            8640            8691            8604          0.5000;
   121    1.071            8767            8818            8750          0.5000;
   122    1.080            8895            8946            8898          0.5000;
   123    1.089            9022            9073            9047          0.5000;
   124    1.098            9150            9201            9196          0.5000;
   125    1.107            9279            9330            9345          0.5000;
   126    1.116            9409            9462            9492          0.5000;
   127    1.124            9542            9596            9637          0.5000;
   128    1.133            9678            9733            9779          0.5000;
   129    1.142            9818            9875            9917          0.5000;
   130    1.151            9963           10022           10053          0.5000;
   131    1.160           10112           10173           10187          0.5000;
   132    1.169           10266           10328           10319          0.5000;
   133    1.178           10423           10487           10451          0.5000;
   134    1.186           10584           10648           10584          0.5000;
   135    1.195           10746           10811           10719          0.5000;
   136    1.204           10909           10974           10858          0.5000;
   137    1.213           11072           11137           11002          0.5000;
   138    1.222           11233           11297           11152          0.5000;
   139    1.231           11391           11454           11309          0.5000;
   140    1.240           11547           11608           11472          0.5000;
   141    1.248           11699           11760           11640          0.5000;
   142    1.257           11849           11908           11814          0.5000;
   143    1.266           11997           12056           11992          0.5000;
   144    1.275           12144           12202           12172          0.5000;
   145    1.284           12291           12350           12354          0.5000;
   146    1.293           12440           12501           12534          0.5000;
   147    1.302           12593           12656           12713          0.5000;
   148    1.310           12751           12815           12888          0.5000;
   149    1.319           12914           12980           13060          0.5000;
   150    1.328           13082           13151           13226          0.5000;
   151    1.337           13255           13326           13388          0.5000;
   152    1.346           13433           13506           13548          0.5000;
   153    1.355           13615           13689           13704          0.5000;
   154    1.364           13800           13874           13859          0.5000;
   155    1.372           13986           14060           14014          0.5000;
   156    1.381           14172           14247           14171          0.5000;
   157    1.390           14358           14432           14331          0.5000;
   158    1.399           14542           14615           14495          0.5000;
   159    1.408           14724           14796           14665          0.5000;
   160    1.417           14904           14976           14839          0.5000;
   161    1.426           15082           15153           15019          0.5000;
   162    1.434           15260           15331           15205          0.5000;
   163    1.443           15438           15509           15396          0.5000;
   164    1.452           15617           15689           15592          0.5000;
   165    1.461           15797           15870           15792          0.5000;
   166    1.470           15979           16052           15995          0.5000;
   167    1.479           16163           16236           16199          0.5000;
   168    1.488           16347           16421           16404          0.5000;
   169    1.496           16532           16607           16608          0.5000;
   170    1.505           16718           16793           16811          0.5000;
   171    1.514           16905           16980           17012          0.5000;
   172    1.523           17093           17168           17210          0.5000;
   173    1.532           17281           17357           17405          0.5000;
   174    1.541           17472           17549           17596          0.5000;
   175    1.549           17664           17742           17783          0.5000;
   176    1.558           17860           17939           17967          0.5000;
   177    1.567           18058           18138           18148          0.5000;
   178    1.576           18260           18341           18327          0.5000;
   179    1.585           18465           18548           18505          0.5000;
   180    1.594           18673           18756           18684          0.5000;
   181    1.603           18881           18965           18864          0.5000;
   182    1.611           19090           19173           19048          0.5000;
   183    1.620           19297           19379           19235          0.5000;
   184    1.629           19501           19583           19428          0.5000;
   185    1.638           19703           19783           19625          0.5000;
   186    1.647           19901           19979           19828          0.5000;
   187    1.656           20096           20173           20037          0.5000;
   188    1.665           20289           20365           20250          0.5000;
   189    1.673           20481           20557           20467          0.5000;
   190    1.682           20673           20751           20685          0.5000;
   191    1.691           20867           20945           20905          0.5000;
   192    1.700           21063           21143           21124          0.5000;
