 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0              -1          0.0000;
     1    0.009               1               1              -1          0.5000;
     2    0.018               4               6              -1          0.5000;
     3    0.027              11              15              -0          0.5000;
     4    0.035              23              29              -0          0.5000;
     5    0.044              38              45              -0          0.5000;
     6    0.053              57              65              -0          0.5000;
     7    0.062              78              87              -0          0.5000;
     8    0.071             102             111              -0          0.5000;
     9    0.080             126             136              -0          0.5000;
    10    0.089             152             162              -0          0.5000;
    11    0.097             177             188               0          0.5000;
    12    0.106             203             213               0          0.5000;
    13    0.115             227             237               0          0.5000;
    14    0.124             250             259               1          0.5000;
    15    0.133             272             280               1          0.5000;
    16    0.142             292             299               1          0.5000;
    17    0.151             308             314               2          0.5000;
    18    0.159             322             327               2          0.5000;
    19    0.168             333             336               2          0.5000;
    20    0.177             340             342               2          0.5000;
    21    0.186             344             345               3          0.5000;
    22    0.195             345             344               3          0.5000;
    23    0.204             342             340               3          0.5000;
    24    0.213             336             332               3          0.5000;
    25    0.221             327             323               3          0.5000;
    26    0.230             317             312               3          0.5000;
    27    0.239             304             299               3          0.5000;
    28    0.248             291             285               3          0.5000;
    29    0.257             277             271               3          0.5000;
    30    0.266             262             257               3          0.5000;
    31    0.274             248             242               2          0.5000;
    32    0.283             234             229               2          0.5000;
    33    0.292             222             217               2          0.5000;
    34    0.301             210             206               2          0.5000;
    35    0.310             200             197               2          0.5000;
    36    0.319             192             189               2          0.5000;
    37    0.328             185             183               2          0.5000;
    38    0.336             180             178               2          0.5000;
    39    0.345             176             175               2          0.5000;
    40    0.354             174             174               2          0.5000;
    41    0.363             174             174               2          0.5000;
    42    0.372             175             176               2          0.5000;
    43    0.381             178             180               2          0.5000;
    44    0.390             182             184               2          0.5000;
    45    0.398             187             189               2          0.5000;
    46    0.407             193             195               2          0.5000;
    47    0.416             198             201               2          0.5000;
    48    0.425             204             206               2          0.5000;
    49    0.434             210             212               2          0.5000;
    50    0.443             214             216               2          0.5000;
    51    0.452             219             221               2          0.5000;
    52    0.460             224             226               2          0.5000;
    53    0.469             228             230               2          0.5000;
    54    0.478             232             234               2          0.5000;
    55    0.487             236             237               2          0.5000;
    56    0.496             238             240               2          0.5000;
    57    0.505             241             241               2          0.5000;
    58    0.514             242             242               2          0.5000;
    59    0.522             243             243               2          0.5000;
    60    0.531             242             242               2          0.5000;
    61    0.540             242             241               2          0.5000;
    62    0.549             240             240               2          0.5000;
    63    0.558             238             238               2          0.5000;
    64    0.567             236             236               2          0.5000;
    65    0.576             234             234               2          0.5000;
    66    0.584             232             232               2          0.5000;
    67    0.593             230             230               2          0.5000;
    68    0.602             229             229               2          0.5000;
    69    0.611             228             228               2          0.5000;
    70    0.620             228             228               2          0.5000;
    71    0.629             228             228               2          0.5000;
    72    0.638             228             228               2          0.5000;
    73    0.646             229             229               2          0.5000;
    74    0.655             230             230               2          0.5000;
    75    0.664             231             232               2          0.5000;
    76    0.673             232             233               2          0.5000;
    77    0.682             234             234               2          0.5000;
    78    0.691             234             235               2          0.5000;
    79    0.699             236             236               3          0.5000;
    80    0.708             236             236               3          0.5000;
    81    0.717             236             236               3          0.5000;
    82    0.726             236             236               3          0.5000;
    83    0.735             236             235               3          0.5000;
    84    0.744             235             235               3          0.5000;
    85    0.753             234             234               3          0.5000;
    86    0.761             233             233               3          0.5000;
    87    0.770             232             232               2          0.5000;
    88    0.779             232             232               2          0.5000;
    89    0.788             231             231               2          0.5000;
    90    0.797             231             231               2          0.5000;
    91    0.806             231             231               2          0.5000;
    92    0.815             231             231               2          0.5000;
    93    0.823             232             232               2          0.5000;
    94    0.832             232             232               2          0.5000;
    95    0.841             233             233               2          0.5000;
    96    0.850             233             234               2          0.5000;
    97    0.859             234             234               3          0.5000;
    98    0.868             234             235               3          0.5000;
    99    0.877             235             235               3          0.5000;
   100    0.885             235             235               3          0.5000;
   101    0.894             235             235               3          0.5000;
   102    0.903             234             234               3          0.5000;
   103    0.912             234             234               3          0.5000;
   104    0.921             234             233               3          0.5000;
   105    0.930             233             233               3          0.5000;
   106    0.939             233             232               2          0.5000;
   107    0.947             232             232               2          0.5000;
   108    0.956             232             232               2          0.5000;
   109    0.965             232             232               2          0.5000;
   110    0.974             232             232               2          0.5000;
   111    0.983             232             232               2          0.5000;
   112    0.992             233             233               2          0.5000;
   113    1.001             233             233               3          0.5000;
   114    1.009             233             234               3          0.5000;
   115    1.018             234             234               3          0.5000;
   116    1.027             234             234               3          0.5000;
   117    1.036             234             234               3          0.5000;
   118    1.045             234             234               3          0.5000;
   119    1.054             234             234               3          0.5000;
   120    1.063             234             234               3          0.5000;
   121    1.071             234             234               3          0.5000;
   122    1.080             234             233               3          0.5000;
   123    1.089             233             233               3          0.5000;
   124    1.098             233             233               3          0.5000;
   125    1.107             233             233               3          0.5000;
   126    1.116             233             233               3          0.5000;
   127    1.124             233             233               3          0.5000;
   128    1.133             233             233               3          0.5000;
   129    1.142             233             233               3          0.5000;
   130    1.151             233             233               3          0.5000;
   131    1.160             233             233               3          0.5000;
   132    1.169             234             234               3          0.5000;
   133    1.178             234             234               3          0.5000;
   134    1.186             234             234               3          0.5000;
   135    1.195             234             234               3          0.5000;
   136    1.204             234             234               3          0.5000;
   137    1.213             234             234               3          0.5000;
   138    1.222             234             234               3          0.5000;
   139    1.231             234             234               3          0.5000;
   140    1.240             233             233               3          0.5000;
   141    1.248             233             233               3          0.5000;
   142    1.257             233             233               3          0.5000;
   143    1.266             233             233               3          0.5000;
   144    1.275             233             233               2          0.5000;
   145    1.284             233             233               2          0.5000;
   146    1.293             233             233               2          0.5000;
   147    1.302             233             233               2          0.5000;
   148    1.310             233             233               2          0.5000;
   149    1.319             234             234               2          0.5000;
   150    1.328             234             234               2          0.5000;
   151    1.337             234             234               2          0.5000;
   152    1.346             234             234               2          0.5000;
   153    1.355             234             234               2          0.5000;
   154    1.364             234             234               2          0.5000;
   155    1.372             234             234               2          0.5000;
   156    1.381             234             234               2          0.5000;
   157    1.390             234             233               2          0.5000;
   158    1.399             233             233               2          0.5000;
   159    1.408             233             233               2          0.5000;
   160    1.417             233             233               2          0.5000;
   161    1.426             233             233               2          0.5000;
   162    1.434             233             233               2          0.5000;
   163    1.443             233             233               2          0.5000;
   164    1.452             233             234               2          0.5000;
   165    1.461             234             234               2          0.5000;
   166    1.470             234             234               2          0.5000;
   167    1.479             234             234               2          0.5000;
   168    1.488             234             234               2          0.5000;
   169    1.496             234             234               2          0.5000;
   170    1.505             234             234               2          0.5000;
   171    1.514             234             234               2          0.5000;
   172    1.523             234             234               2          0.5000;
   173    1.532             234             234               2          0.5000;
   174    1.541             234             234               2          0.5000;
   175    1.549             234             234               2          0.5000;
   176    1.558             234             234               2          0.5000;
   177    1.567             234             234               2          0.5000;
   178    1.576             234             234               2          0.5000;
   179    1.585             234             234               2          0.5000;
   180    1.594             234             234               2          0.5000;
   181    1.603             234             234               2          0.5000;
   182    1.611             234             234               2          0.5000;
   183    1.620             234             234               2          0.5000;
   184    1.629             234             234               2          0.5000;
   185    1.638             234             234               2          0.5000;
   186    1.647             234             234               2          0.5000;
   187    1.656             234             234               2          0.5000;
   188    1.665             234             234               2          0.5000;
   189    1.673             234             234               2          0.5000;
   190    1.682             234             234               2          0.5000;
   191    1.691             234             234               2          0.5000;
   192    1.700             234             234               2          0.5000;
   193    1.709             234             234               2          0.5000;
   194    1.718             234             234               2          0.5000;
   195    1.727             234             234               2          0.5000;
   196    1.735             234             234               2          0.5000;
   197    1.744             234             234               2          0.5000;
   198    1.753             234             234               2          0.5000;
   199    1.762             234             234               2          0.5000;
   200    1.771             234             234               2          0.5000;
   201    1.780             234             234               2          0.5000;
   202    1.789             234             234               2          0.5000;
   203    1.797             234             234               2          0.5000;
   204    1.806             234             234               2          0.5000;
   205    1.815             234             234               2          0.5000;
   206    1.824             234             234               2          0.5000;
   207    1.833             234             234               2          0.5000;
   208    1.842             234             234               2          0.5000;
   209    1.851             234             234               2          0.5000;
   210    1.859             234             234               2          0.5000;
   211    1.868             234             234               2          0.5000;
   212    1.877             234             234               2          0.5000;
   213    1.886             234             234               2          0.5000;
   214    1.895             234             234               2          0.5000;
   215    1.904             234             234               2          0.5000;
   216    1.913             234             234               2          0.5000;
   217    1.921             234             234               2          0.5000;
   218    1.930             234             234               2          0.5000;
   219    1.939             234             234               2          0.5000;
   220    1.948             234             234               2          0.5000;
   221    1.957             234             234               2          0.5000;
   222    1.966             234             234               2          0.5000;
   223    1.974             234             234               2          0.5000;
   224    1.983             234             234               2          0.5000;
   225    1.992             234             234               2          0.5000;
   226    2.001             234             234               2          0.5000;
   227    2.010             233             232               2          0.0000;
   228    2.019             229             226               2          0.0000;
   229    2.028             220             215               2          0.0000;
   230    2.036             206             200               2          0.0000;
   231    2.045             190             182               2          0.0000;
   232    2.054             170             162               2          0.0000;
   233    2.063             148             139               2          0.0000;
   234    2.072             124             114               2          0.0000;
   235    2.081              99              89               2          0.0000;
   236    2.090              73              62               2          0.0000;
   237    2.098              46              35               2          0.0000;
   238    2.107              19               9               1          0.0000;
   239    2.116              -7             -17               1          0.0000;
   240    2.125             -31             -40               1          0.0000;
   241    2.134             -52             -60               1          0.0000;
   242    2.143             -71             -77               1          0.0000;
   243    2.152             -86             -91               1          0.0000;
   244    2.160             -97            -101               1          0.0000;
   245    2.169            -105            -107               1          0.0000;
   246    2.178            -108            -109               1          0.0000;
   247    2.187            -107            -106               1          0.0000;
   248    2.196            -102            -100               1          0.0000;
   249    2.205             -94             -90               1          0.0000;
   250    2.214             -83             -78               1          0.0000;
   251    2.222             -70             -64               1          0.0000;
   252    2.231             -54             -48               1          0.0000;
   253    2.240             -38             -31               1          0.0000;
   254    2.249             -20             -13               1          0.0000;
   255    2.258              -2               5               1          0.0000;
   256    2.267              16              22               1          0.0000;
   257    2.276              32              38               2          0.0000;
   258    2.284              48              53               2          0.0000;
   259    2.293              61              66               2          0.0000;
   260    2.302              73              77               2          0.0000;
   261    2.311              82              85               2          0.0000;
   262    2.320              88              90               2          0.0000;
   263    2.329              92              92               2          0.0000;
   264    2.338              92              92               2          0.0000;
   265    2.346              90              89               2          0.0000;
   266    2.355              85              83               2          0.0000;
   267    2.364              79              76               2          0.0000;
   268    2.373              70              67               2          0.0000;
   269    2.382              61              57               2          0.0000;
   270    2.391              50              46               2          0.0000;
   271    2.399              39              35               1          0.0000;
   272    2.408              28              24               1          0.0000;
   273    2.417              18              14               1          0.0000;
   274    2.426               8               4               1          0.0000;
   275    2.435              -1              -5               1          0.0000;
   276    2.444              -9             -12               1          0.0000;
   277    2.453             -16             -18               1          0.0000;
   278    2.461             -21             -22               1          0.0000;
   279    2.470             -24             -25               1          0.0000;
   280    2.479             -25             -25               1          0.0000;
   281    2.488             -24             -23               1          0.0000;
   282    2.497             -22             -20               1          0.0000;
   283    2.506             -18             -16               1          0.0000;
   284    2.515             -13             -11               1          0.0000;
   285    2.523              -8              -5               1          0.0000;
   286    2.532              -2               1               1          0.0000;
   287    2.541               4               7               1          0.0000;
   288    2.550              10              13               1          0.0000;
   289    2.559              16              18               1          0.0000;
   290    2.568              21              23               1          0.0000;
   291    2.577              25              27               1          0.0000;
   292    2.585              29              30               1          0.0000;
   293    2.594              31              32               1          0.0000;
   294    2.603              32              32               1          0.0000;
   295    2.612              32              32               1          0.0000;
   296    2.621              32              31               1          0.0000;
   297    2.630              30              29               1          0.0000;
   298    2.639              27              26               1          0.0000;
   299    2.647              24              23               1          0.0000;
   300    2.656              21              20               1          0.0000;
   301    2.665              18              17               1          0.0000;
   302    2.674              15              14               1          0.0000;
   303    2.683              12              11               1          0.0000;
   304    2.692              10               9               1          0.0000;
   305    2.701               8               7               1          0.0000;
   306    2.709               6               6               1          0.0000;
   307    2.718               6               6               1          0.0000;
   308    2.727               6               6               1          0.0000;
   309    2.736               6               7               1          0.0000;
   310    2.745               8               8               1          0.0000;
   311    2.754               9              10               1          0.0000;
   312    2.763              11              12               1          0.0000;
   313    2.771              13              13               1          0.0000;
   314    2.780              14              15               1          0.0000;
   315    2.789              16              16               1          0.0000;
   316    2.798              17              18               1          0.0000;
   317    2.807              18              18               1          0.0000;
   318    2.816              18              19               1          0.0000;
   319    2.824              19              18               1          0.0000;
   320    2.833              18              18               1          0.0000;
   321    2.842              18              17               1          0.0000;
   322    2.851              17              16               1          0.0000;
   323    2.860              16              15               1          0.0000;
   324    2.869              14              14               1          0.0000;
   325    2.878              13              13               1          0.0000;
   326    2.886              13              12               1          0.0000;
   327    2.895              12              12               1          0.0000;
