 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.5000;
     1    0.009               1               1               0          0.5000;
     2    0.018               7               7               0          0.5000;
     3    0.027              16              16               0          0.5000;
     4    0.035              30              30               0          0.5000;
     5    0.044              47              47               0          0.5000;
     6    0.053              67              67               0          0.5000;
     7    0.062              89              89               0          0.5000;
     8    0.071             112             112               0          0.5000;
     9    0.080             137             137               0          0.5000;
    10    0.089             163             163               0          0.5000;
    11    0.097             189             189               0          0.5000;
    12    0.106             214             214               0          0.5000;
    13    0.115             239             239               0          0.5000;
    14    0.124             262             262               0          0.5000;
    15    0.133             283             283               1          0.5000;
    16    0.142             302             302               1          0.5000;
    17    0.151             319             319               2          0.5000;
    18    0.159             332             332               2          0.5000;
    19    0.168             343             343               2          0.5000;
    20    0.177             350             350               2          0.5000;
    21    0.186             354             354               2          0.5000;
    22    0.195             355             355               2          0.5000;
    23    0.204             352             352               2          0.5000;
    24    0.213             347             347               2          0.5000;
    25    0.221             339             339               2          0.5000;
    26    0.230             329             329               2          0.5000;
    27    0.239             318             318               2          0.5000;
    28    0.248             306             306               2          0.5000;
    29    0.257             293             293               2          0.5000;
    30    0.266             279             279               2          0.5000;
    31    0.274             266             266               2          0.5000;
    32    0.283             253             253               2          0.5000;
    33    0.292             240             240               2          0.5000;
    34    0.301             229             229               2          0.5000;
    35    0.310             219             219               2          0.5000;
    36    0.319             211             211               2          0.5000;
    37    0.328             205             205               2          0.5000;
    38    0.336             200             200               2          0.5000;
    39    0.345             198             198               2          0.5000;
    40    0.354             197             197               2          0.5000;
    41    0.363             199             199               2          0.5000;
    42    0.372             203             203               2          0.5000;
    43    0.381             208             208               2          0.5000;
    44    0.390             214             214               2          0.5000;
    45    0.398             221             221               2          0.5000;
    46    0.407             228             228               2          0.5000;
    47    0.416             235             235               2          0.5000;
    48    0.425             242             242               2          0.5000;
    49    0.434             249             249               2          0.5000;
    50    0.443             255             255               2          0.5000;
    51    0.452             261             261               2          0.5000;
    52    0.460             265             265               2          0.5000;
    53    0.469             268             268               2          0.5000;
    54    0.478             270             270               2          0.5000;
    55    0.487             271             271               2          0.5000;
    56    0.496             271             271               2          0.5000;
    57    0.505             269             269               2          0.5000;
    58    0.514             267             267               2          0.5000;
    59    0.522             264             264               2          0.5000;
    60    0.531             260             260               2          0.5000;
    61    0.540             257             257               2          0.5000;
    62    0.549             253             253               2          0.5000;
    63    0.558             249             249               2          0.5000;
    64    0.567             247             247               2          0.5000;
    65    0.576             244             244               2          0.5000;
    66    0.584             242             242               2          0.5000;
    67    0.593             241             241               2          0.5000;
    68    0.602             241             241               2          0.5000;
    69    0.611             241             241               2          0.5000;
    70    0.620             242             242               2          0.5000;
    71    0.629             244             244               2          0.5000;
    72    0.638             245             245               2          0.5000;
    73    0.646             247             247               2          0.5000;
    74    0.655             249             249               2          0.5000;
    75    0.664             251             251               2          0.5000;
    76    0.673             253             253               2          0.5000;
    77    0.682             254             254               2          0.5000;
    78    0.691             255             255               2          0.5000;
    79    0.699             255             255               2          0.5000;
    80    0.708             255             255               2          0.5000;
    81    0.717             255             255               2          0.5000;
    82    0.726             254             254               2          0.5000;
    83    0.735             253             253               2          0.5000;
    84    0.744             251             251               2          0.5000;
    85    0.753             250             250               2          0.5000;
    86    0.761             249             249               2          0.5000;
    87    0.770             248             248               2          0.5000;
    88    0.779             248             248               2          0.5000;
    89    0.788             247             247               2          0.5000;
    90    0.797             247             247               2          0.5000;
    91    0.806             248             248               2          0.5000;
    92    0.815             249             249               2          0.5000;
    93    0.823             249             249               2          0.5000;
    94    0.832             250             250               2          0.5000;
    95    0.841             251             251               2          0.5000;
    96    0.850             252             252               2          0.5000;
    97    0.859             252             252               2          0.5000;
    98    0.868             253             253               2          0.5000;
    99    0.877             253             253               2          0.5000;
   100    0.885             253             253               2          0.5000;
   101    0.894             252             252               2          0.5000;
   102    0.903             252             252               2          0.5000;
   103    0.912             251             251               2          0.5000;
   104    0.921             251             251               2          0.5000;
   105    0.930             250             250               2          0.5000;
   106    0.939             249             249               2          0.5000;
   107    0.947             249             249               2          0.5000;
   108    0.956             249             249               2          0.5000;
   109    0.965             249             249               2          0.5000;
   110    0.974             249             249               2          0.5000;
   111    0.983             250             250               2          0.5000;
   112    0.992             251             251               2          0.5000;
   113    1.001             251             251               2          0.5000;
   114    1.009             251             251               2          0.5000;
   115    1.018             252             252               2          0.5000;
   116    1.027             252             252               2          0.5000;
   117    1.036             252             252               2          0.5000;
   118    1.045             252             252               2          0.5000;
   119    1.054             252             252               2          0.5000;
   120    1.063             251             251               2          0.5000;
   121    1.071             251             251               2          0.5000;
   122    1.080             251             251               2          0.5000;
   123    1.089             250             250               2          0.5000;
   124    1.098             250             250               2          0.5000;
   125    1.107             250             250               2          0.5000;
   126    1.116             250             250               2          0.5000;
   127    1.124             250             250               2          0.5000;
   128    1.133             250             250               2          0.5000;
   129    1.142             251             251               2          0.5000;
   130    1.151             251             251               2          0.5000;
   131    1.160             251             251               2          0.5000;
   132    1.169             251             251               2          0.5000;
   133    1.178             252             252               2          0.5000;
   134    1.186             252             252               2          0.5000;
   135    1.195             252             252               2          0.5000;
   136    1.204             252             252               2          0.5000;
   137    1.213             251             251               2          0.5000;
   138    1.222             251             251               2          0.5000;
   139    1.231             251             251               2          0.5000;
   140    1.240             251             251               2          0.5000;
   141    1.248             251             251               2          0.5000;
   142    1.257             251             251               2          0.5000;
   143    1.266             251             251               2          0.5000;
   144    1.275             251             251               2          0.5000;
   145    1.284             251             251               2          0.5000;
   146    1.293             251             251               2          0.5000;
   147    1.302             251             251               2          0.5000;
   148    1.310             251             251               2          0.5000;
   149    1.319             251             251               2          0.5000;
   150    1.328             251             251               2          0.5000;
   151    1.337             251             251               2          0.5000;
   152    1.346             251             251               2          0.5000;
   153    1.355             251             251               2          0.5000;
   154    1.364             251             251               2          0.5000;
   155    1.372             251             251               2          0.5000;
   156    1.381             251             251               2          0.5000;
   157    1.390             251             251               2          0.5000;
   158    1.399             251             251               2          0.5000;
   159    1.408             251             251               2          0.5000;
   160    1.417             251             251               2          0.5000;
   161    1.426             251             251               2          0.5000;
   162    1.434             251             251               2          0.5000;
   163    1.443             251             251               2          0.5000;
   164    1.452             251             251               2          0.5000;
   165    1.461             251             251               2          0.5000;
   166    1.470             251             251               2          0.5000;
   167    1.479             251             251               2          0.5000;
   168    1.488             251             251               2          0.5000;
   169    1.496             251             251               2          0.5000;
   170    1.505             251             251               2          0.5000;
   171    1.514             251             251               2          0.5000;
   172    1.523             251             251               2          0.5000;
   173    1.532             251             251               2          0.5000;
   174    1.541             251             251               2          0.5000;
   175    1.549             251             251               2          0.5000;
   176    1.558             251             251               2          0.5000;
   177    1.567             251             251               2          0.5000;
   178    1.576             251             251               2          0.5000;
   179    1.585             251             251               2          0.5000;
   180    1.594             251             251               2          0.5000;
   181    1.603             251             251               2          0.5000;
   182    1.611             251             251               2          0.5000;
   183    1.620             251             251               2          0.5000;
   184    1.629             251             251               2          0.5000;
   185    1.638             251             251               2          0.5000;
   186    1.647             251             251               2          0.5000;
   187    1.656             251             251               2          0.5000;
   188    1.665             251             251               2          0.5000;
