 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0              -1          0.0000;
     1    0.009               0               0              -1          0.5000;
     2    0.018               3               4               0          0.5000;
     3    0.027              11              13               0          0.5000;
     4    0.035              22              25               0          0.5000;
     5    0.044              37              41               0          0.5000;
     6    0.053              56              60               0          0.5000;
     7    0.062              76              81               0          0.5000;
     8    0.071              99             104               0          0.5000;
     9    0.080             123             128               0          0.5000;
    10    0.089             148             153               0          0.5000;
    11    0.097             172             177               1          0.5000;
    12    0.106             197             201               1          0.5000;
    13    0.115             220             224               2          0.5000;
    14    0.124             242             246               3          0.5000;
    15    0.133             262             265               3          0.5000;
    16    0.142             280             283               4          0.5000;
    17    0.151             296             299               4          0.5000;
    18    0.159             309             311               4          0.5000;
    19    0.168             319             320               5          0.5000;
    20    0.177             325             327               5          0.5000;
    21    0.186             329             329               5          0.5000;
    22    0.195             329             329               5          0.5000;
    23    0.204             326             325               6          0.5000;
    24    0.213             320             319               6          0.5000;
    25    0.221             312             311               6          0.5000;
    26    0.230             302             300               5          0.5000;
    27    0.239             291             289               5          0.5000;
    28    0.248             279             276               5          0.5000;
    29    0.257             266             263               5          0.5000;
    30    0.266             253             250               5          0.5000;
    31    0.274             240             238               5          0.5000;
    32    0.283             228             226               5          0.5000;
    33    0.292             217             215               5          0.5000;
    34    0.301             208             206               5          0.5000;
    35    0.310             199             197               5          0.5000;
    36    0.319             191             190               5          0.5000;
    37    0.328             185             184               5          0.5000;
    38    0.336             180             179               5          0.5000;
    39    0.345             177             176               5          0.5000;
    40    0.354             175             175               5          0.5000;
    41    0.363             175             175               5          0.5000;
    42    0.372             177             177               5          0.5000;
    43    0.381             180             181               5          0.5000;
    44    0.390             184             185               5          0.5000;
    45    0.398             189             190               5          0.5000;
    46    0.407             195             196               5          0.5000;
    47    0.416             200             201               5          0.5000;
    48    0.425             206             207               5          0.5000;
    49    0.434             211             212               5          0.5000;
    50    0.443             216             216               5          0.5000;
    51    0.452             219             220               5          0.5000;
    52    0.460             223             223               5          0.5000;
    53    0.469             224             225               5          0.5000;
    54    0.478             225             225               5          0.5000;
    55    0.487             225             225               5          0.5000;
    56    0.496             224             224               5          0.5000;
    57    0.505             222             221               5          0.5000;
    58    0.514             219             219               5          0.5000;
    59    0.522             217             216               5          0.5000;
    60    0.531             213             213               5          0.5000;
    61    0.540             211             210               5          0.5000;
    62    0.549             208             207               5          0.5000;
    63    0.558             206             205               5          0.5000;
    64    0.567             204             204               5          0.5000;
    65    0.576             203             203               5          0.5000;
    66    0.584             203             203               5          0.5000;
    67    0.593             203             203               5          0.5000;
    68    0.602             204             204               5          0.5000;
    69    0.611             205             206               5          0.5000;
    70    0.620             207             207               5          0.5000;
    71    0.629             209             209               5          0.5000;
    72    0.638             211             211               5          0.5000;
    73    0.646             212             213               5          0.5000;
    74    0.655             213             214               5          0.5000;
    75    0.664             215             215               5          0.5000;
    76    0.673             215             215               5          0.5000;
    77    0.682             215             215               5          0.5000;
    78    0.691             215             215               5          0.5000;
    79    0.699             214             213               5          0.5000;
    80    0.708             213             213               5          0.5000;
    81    0.717             212             211               5          0.5000;
    82    0.726             210             210               5          0.5000;
    83    0.735             209             209               5          0.5000;
    84    0.744             208             208               5          0.5000;
    85    0.753             208             208               5          0.5000;
    86    0.761             208             208               5          0.5000;
    87    0.770             208             208               5          0.5000;
    88    0.779             208             208               5          0.5000;
    89    0.788             209             209               5          0.5000;
    90    0.797             210             210               5          0.5000;
    91    0.806             211             211               5          0.5000;
    92    0.815             211             212               5          0.5000;
    93    0.823             212             212               5          0.5000;
    94    0.832             213             213               5          0.5000;
    95    0.841             213             213               5          0.5000;
    96    0.850             213             213               5          0.5000;
    97    0.859             212             212               5          0.5000;
    98    0.868             212             212               5          0.5000;
    99    0.877             211             211               5          0.5000;
   100    0.885             211             211               5          0.5000;
   101    0.894             210             210               5          0.5000;
   102    0.903             210             209               5          0.5000;
   103    0.912             209             209               5          0.5000;
   104    0.921             209             209               5          0.5000;
   105    0.930             209             209               5          0.5000;
   106    0.939             209             209               5          0.5000;
   107    0.947             210             210               5          0.5000;
   108    0.956             210             211               5          0.5000;
   109    0.965             211             211               5          0.5000;
   110    0.974             211             211               5          0.5000;
   111    0.983             212             212               5          0.5000;
   112    0.992             212             212               5          0.5000;
   113    1.001             212             212               5          0.5000;
   114    1.009             212             212               5          0.5000;
   115    1.018             212             212               5          0.5000;
   116    1.027             211             211               5          0.5000;
   117    1.036             211             211               5          0.5000;
   118    1.045             211             211               5          0.5000;
   119    1.054             210             210               5          0.5000;
   120    1.063             210             210               5          0.5000;
   121    1.071             210             210               5          0.5000;
   122    1.080             210             210               5          0.5000;
   123    1.089             210             210               5          0.5000;
   124    1.098             210             210               5          0.5000;
   125    1.107             211             211               5          0.5000;
   126    1.116             211             211               5          0.5000;
   127    1.124             211             211               5          0.5000;
   128    1.133             211             211               5          0.5000;
   129    1.142             212             212               5          0.5000;
   130    1.151             212             212               5          0.5000;
   131    1.160             212             212               5          0.5000;
   132    1.169             211             211               5          0.5000;
   133    1.178             211             211               5          0.5000;
   134    1.186             211             211               5          0.5000;
   135    1.195             211             211               5          0.5000;
   136    1.204             211             210               5          0.5000;
   137    1.213             210             210               5          0.5000;
   138    1.222             210             210               5          0.5000;
   139    1.231             210             210               5          0.5000;
   140    1.240             210             210               5          0.5000;
   141    1.248             211             211               5          0.5000;
   142    1.257             211             211               5          0.5000;
   143    1.266             211             211               5          0.5000;
   144    1.275             211             211               5          0.5000;
   145    1.284             211             211               5          0.5000;
   146    1.293             211             211               5          0.5000;
   147    1.302             211             211               5          0.5000;
   148    1.310             211             211               5          0.5000;
   149    1.319             211             211               5          0.5000;
   150    1.328             211             211               5          0.5000;
   151    1.337             211             211               5          0.5000;
   152    1.346             211             211               5          0.5000;
   153    1.355             211             211               5          0.5000;
   154    1.364             211             211               5          0.5000;
   155    1.372             211             211               5          0.5000;
   156    1.381             211             211               5          0.5000;
   157    1.390             211             211               5          0.5000;
   158    1.399             211             211               5          0.5000;
   159    1.408             211             211               5          0.5000;
   160    1.417             211             211               5          0.5000;
   161    1.426             211             211               5          0.5000;
   162    1.434             211             211               5          0.5000;
   163    1.443             211             211               5          0.5000;
   164    1.452             211             211               5          0.5000;
   165    1.461             211             211               5          0.5000;
   166    1.470             211             211               5          0.5000;
   167    1.479             211             211               5          0.5000;
   168    1.488             211             211               5          0.5000;
   169    1.496             211             211               5          0.5000;
   170    1.505             211             211               5          0.5000;
   171    1.514             211             211               5          0.5000;
   172    1.523             211             211               5          0.5000;
   173    1.532             211             211               5          0.5000;
   174    1.541             211             211               5          0.5000;
   175    1.549             211             211               5          0.5000;
   176    1.558             211             211               5          0.5000;
   177    1.567             211             211               5          0.5000;
   178    1.576             211             211               5          0.5000;
   179    1.585             211             211               5          0.5000;
   180    1.594             211             211               5          0.5000;
   181    1.603             211             211               5          0.5000;
   182    1.611             211             211               5          0.5000;
   183    1.620             211             211               5          0.5000;
   184    1.629             211             211               5          0.5000;
   185    1.638             211             211               5          0.5000;
   186    1.647             211             211               5          0.5000;
   187    1.656             211             211               5          0.5000;
   188    1.665             211             211               5          0.5000;
   189    1.673             211             211               5          0.5000;
   190    1.682             211             211               5          0.5000;
   191    1.691             211             211               5          0.5000;
   192    1.700             211             211               5          0.5000;
   193    1.709             211             211               5          0.5000;
   194    1.718             211             211               5          0.5000;
   195    1.727             211             211               5          0.5000;
   196    1.735             211             211               5          0.5000;
   197    1.744             211             211               5          0.5000;
   198    1.753             211             211               5          0.5000;
   199    1.762             211             211               5          0.5000;
   200    1.771             211             211               5          0.5000;
   201    1.780             211             211               5          0.5000;
   202    1.789             211             211               5          0.5000;
   203    1.797             211             211               5          0.5000;
   204    1.806             211             211               5          0.5000;
   205    1.815             211             211               5          0.5000;
   206    1.824             211             211               5          0.5000;
   207    1.833             211             211               5          0.5000;
   208    1.842             211             211               5          0.5000;
   209    1.851             211             211               5          0.5000;
   210    1.859             211             211               5          0.5000;
   211    1.868             211             211               5          0.5000;
   212    1.877             211             211               5          0.5000;
   213    1.886             211             211               5          0.5000;
   214    1.895             211             211               5          0.5000;
   215    1.904             211             211               5          0.5000;
   216    1.913             211             211               5          0.5000;
   217    1.921             211             211               5          0.5000;
   218    1.930             211             211               5          0.5000;
   219    1.939             211             211               5          0.5000;
   220    1.948             211             211               5          0.5000;
   221    1.957             211             211               5          0.5000;
   222    1.966             211             211               5          0.5000;
   223    1.974             211             211               5          0.5000;
   224    1.983             211             211               5          0.5000;
   225    1.992             211             211               5          0.5000;
   226    2.001             211             211               5          0.5000;
   227    2.010             211             210               5          0.0000;
   228    2.019             207             206               5          0.0000;
   229    2.028             199             198               5          0.0000;
   230    2.036             189             186               5          0.0000;
   231    2.045             175             172               5          0.0000;
   232    2.054             158             155               5          0.0000;
   233    2.063             139             135               5          0.0000;
   234    2.072             118             114               5          0.0000;
   235    2.081              96              91               5          0.0000;
   236    2.090              72              67               4          0.0000;
   237    2.098              48              43               4          0.0000;
   238    2.107              24              19               4          0.0000;
   239    2.116               1              -4               4          0.0000;
   240    2.125             -20             -24               4          0.0000;
   241    2.134             -40             -44               4          0.0000;
   242    2.143             -57             -60               4          0.0000;
   243    2.152             -71             -73               4          0.0000;
   244    2.160             -81             -83               3          0.0000;
   245    2.169             -88             -89               3          0.0000;
   246    2.178             -92             -92               3          0.0000;
   247    2.187             -91             -91               3          0.0000;
   248    2.196             -88             -87               3          0.0000;
   249    2.205             -81             -79               3          0.0000;
   250    2.214             -72             -70               4          0.0000;
   251    2.222             -60             -58               4          0.0000;
   252    2.231             -47             -45               4          0.0000;
   253    2.240             -33             -30               4          0.0000;
   254    2.249             -18             -15               4          0.0000;
   255    2.258              -2               1               4          0.0000;
   256    2.267              13              16               4          0.0000;
   257    2.276              27              30               4          0.0000;
   258    2.284              41              43               4          0.0000;
   259    2.293              52              55               4          0.0000;
   260    2.302              62              64               4          0.0000;
   261    2.311              70              71               4          0.0000;
   262    2.320              75              76               4          0.0000;
   263    2.329              78              78               4          0.0000;
   264    2.338              78              78               4          0.0000;
   265    2.346              76              76               4          0.0000;
   266    2.355              72              71               4          0.0000;
   267    2.364              66              65               4          0.0000;
   268    2.373              59              57               4          0.0000;
   269    2.382              50              48               4          0.0000;
   270    2.391              41              39               4          0.0000;
   271    2.399              32              30               4          0.0000;
   272    2.408              23              21               4          0.0000;
   273    2.417              14              12               4          0.0000;
   274    2.426               6               4               4          0.0000;
   275    2.435              -1              -3               4          0.0000;
   276    2.444              -8              -8               4          0.0000;
   277    2.453             -12             -12               4          0.0000;
   278    2.461             -15             -16               4          0.0000;
   279    2.470             -17             -17               4          0.0000;
   280    2.479             -17             -17               4          0.0000;
   281    2.488             -15             -14               4          0.0000;
   282    2.497             -12             -11               4          0.0000;
   283    2.506              -8              -7               4          0.0000;
   284    2.515              -3              -2               4          0.0000;
   285    2.523               2               3               4          0.0000;
   286    2.532               7               8               4          0.0000;
   287    2.541              12              13               4          0.0000;
   288    2.550              16              17               4          0.0000;
   289    2.559              21              21               4          0.0000;
   290    2.568              24              24               4          0.0000;
   291    2.577              26              27               4          0.0000;
   292    2.585              28              28               4          0.0000;
   293    2.594              29              29               4          0.0000;
   294    2.603              28              28               4          0.0000;
   295    2.612              27              27               4          0.0000;
   296    2.621              25              25               4          0.0000;
   297    2.630              23              23               4          0.0000;
   298    2.639              20              20               4          0.0000;
   299    2.647              18              17               4          0.0000;
   300    2.656              15              15               4          0.0000;
   301    2.665              13              12               4          0.0000;
   302    2.674              11              10               4          0.0000;
   303    2.683               9               9               4          0.0000;
   304    2.692               8               8               4          0.0000;
   305    2.701               7               7               4          0.0000;
   306    2.709               7               7               4          0.0000;
   307    2.718               8               8               4          0.0000;
   308    2.727               9               9               4          0.0000;
   309    2.736              10              11               4          0.0000;
   310    2.745              12              12               4          0.0000;
   311    2.754              13              13               4          0.0000;
   312    2.763              15              15               4          0.0000;
   313    2.771              16              16               4          0.0000;
   314    2.780              17              17               4          0.0000;
   315    2.789              18              18               4          0.0000;
   316    2.798              18              18               4          0.0000;
   317    2.807              18              18               4          0.0000;
   318    2.816              17              17               4          0.0000;
   319    2.824              17              16               4          0.0000;
   320    2.833              16              15               4          0.0000;
   321    2.842              15              15               4          0.0000;
   322    2.851              13              13               4          0.0000;
   323    2.860              13              13               4          0.0000;
   324    2.869              12              12               4          0.0000;
   325    2.878              11              11               4          0.0000;
   326    2.886              11              11               4          0.0000;
   327    2.895              11              11               4          0.0000;
   328    2.904              12              12               4          0.0000;
