Time,Commanded Pos,Encoder 1 Pos,Encoder 2 Pos,Control Effort
0,0,0,-0.4,0.2
0.009,0.6,0.8,-0.4,0.5
0.018,4.8,5.6,-0.2,0.5
0.027,13,14.8,0,0.5
0.035,25.4,28,0,0.5
0.044,41.2,44.4,0.2,0.5
0.053,60.4,64.2,0.2,0.5
0.062,81.6,85.6,0.2,0.5
0.071,104.8,109,0.2,0.5
0.08,129.2,133.6,0.2,0.5
0.089,154.4,159,0.4,0.5
0.097,179.6,184.2,0.6,0.5
0.106,204.4,208.8,0.6,0.5
0.115,228.2,232.6,0.8,0.5
0.124,251,255,1.6,0.5
0.133,272,275.4,1.8,0.5
0.142,290.8,293.8,2,0.5
0.151,306.8,309.6,2.4,0.5
0.159,320,322.2,2.4,0.5
0.168,330.4,331.6,2.6,0.5
0.177,336.8,338,2.6,0.5
0.186,340.4,340.8,3,0.5
0.195,340.6,340.4,3,0.5
0.204,337.4,336.6,3.2,0.5
0.213,331.6,330.2,3.2,0.5
0.221,323,321.6,3.2,0.5
0.23,313,311,3,0.5
0.239,301.2,299,2.8,0.5
0.248,288.6,286,2.8,0.5
0.257,275,272.4,2.8,0.5
0.266,261.4,258.8,2.8,0.5
0.274,247.8,245.4,2.6,0.5
0.283,235,232.6,2.6,0.5
0.292,222.6,220.4,2.6,0.5
0.301,212,210,2.4,0.5
0.31,202.4,200.8,2.4,0.5
0.319,194.6,193.4,2.4,0.5
0.328,188.4,187.4,2.4,0.5
0.336,183.6,182.8,2.4,0.5
0.345,180.8,180.4,2.4,0.5
0.354,179.6,179.6,2.4,0.5
0.363,180.4,180.6,2.4,0.5
0.372,183,183.4,2.4,0.5
0.381,186.8,187.8,2.4,0.5
0.39,191.8,192.8,2.4,0.5
0.398,197.4,198.6,2.4,0.5
0.407,203.8,204.8,2.4,0.5
0.416,209.8,211,2.4,0.5
0.425,216,217.2,2.6,0.5
0.434,222,223,2.6,0.5
0.443,227.2,227.8,2.6,0.5
0.452,232.2,233,2.6,0.5
